INS_NM,ORG_ID,GBLOC,,
"AMER EMB, LISBON, PORTUGAL",167,ULAK,,
"USDAO, WARSAW, POLAND",168,VDDK,,
"AMER EMB, MANILA, PHILIPPINES",169,RFDN,,
"MAAG, LIMA, PERU",170,ZIAK,,
"USDAO, LIMA, PERU",171,ZIDK,,
"US ODC, ASUNCION, PARAGUAY",172,ZHAK,,
"AMER EMB, BERLIN, GERMANY",173,WAAS,,
"AMER EMB, PARIS, FRANCE",174,VGDK,,
"AMER EMB, HELSINKI, FINLAND",176,VNDK,,
"AMER EMB, ADDIS ABABA, ETHIOPIA",177,TADK,,
"RAF MILDENHALL, ENGLAND",178,YBCA,,
"422 ABS, RAF CROUGHTON, ENGLAND",179,YMFC,,
"423 ABS, RAF ALCONBURY, ENGLAND",181,YBFL,,
"RAF MENWITH HILL, ENGLAND",182,YCAC,,
"US MIL GP, SAN SALVADOR, EL SALVADOR",184,OMAK,,
"USDAO, SAN SALVADOR, EL SALVADOR",185,OMDK,,
"AMER EMB, CAIRO, EGYPT",186,TNDK,,
"US MIL GP, QUITO, ECUADOR",187,ZGAK,,
"USDAO, QUITO, ECUADOR",188,ZGDK,,
"MAAG, SANTO DOMINGO, DOMINICAN REP",189,OLAK,,
"US NAVY SPT FAC, DIEGO GARCIA, BIOT",190,RPNY,,
"AMER EMB, COPENHAGEN, DENMARK",191,VEDK,,
"CYPRUS PROJECT OLIVE HARVEST, CYPRUS",192,UWFL,,
"AMER EMB, NICOSIA, CYPRUS",193,UWDK,,
"US MIL GROUP, SAN JOSE, COSTA RICA",194,OJAK,,
"USDAO, ABIDJAN, COTE D'IVOIRE",195,THDK,,
"USDAO, KINSHASA, DEM REP OF CONGO",196,TVDK,,
SECURITY COOPERATION OFFICE(SCO) ,197,ZFAK,,
"USDAO, BOGOTA, COLUMBIA",198,ZFDK,,
"AMER EMB, BEIJING, PEOP REP OF CHINA",199,QBDK,,
"US MIL GP, SANTIAGO, CHILE",200,ZEAK,,
"AMER EMB, N'DJAMENA, CHAD",201,TODK,,
"AMER EMB, OTTAWA, CANADA",202,NJDK,,
"AM EMB, GSO, PHNOM PENH, CAMBODIA",204,RHDO,,
"AMER EMB, RANGOON, BURMA",205,SIDK,,
"USDAO, SOFIA, BULGARIA",206,UJDK,,
"US MIL LNO, BRASILIA, BRAZIL",207,ZCDK,,
"RIO DE JANEIRO & SAO PAOLO, BRAZIL",208,ZDDK,,
"US MIL GP, LA PAZ, BOLIVIA",209,ZBAK,,
"USDAO, LA PAZ, BOLIVIA",210,ZBDK,,
"USDAO, ASUNCION, PARAGUAY",211,ZHDK,,
"USDAO, ISLAMABAD, PAKISTAN",213,SEDK,,
"AMER EMB, MUSCAT, OMAN",214,SXDK,,
"AMER EMB, OSLO, NORWAY",215,VIDK,,
"U.S. CONSULATE, LAGOS, NIGERIA",216,TJDK,,
"AMER EMB, NIAMEY, NIGER",217,TIDK,,
"US MIL LNO, MANAGUA, NICARAGUA",218,OPAK,,
"AMER EMB, MANAGUA, NICARAGUA",219,OPDK,,
"USDAO, KATHMANDU, NEPAL",220,SKDK,,
"AMER EMB, WINDHOEK, NAMIBIA",221,NADK,,
"ODC, RABAT, MOROCCO",222,TEDK,,
"US DAO, MAPUTO, MOZAMBIQUE",223,MZDT,,
"386 ELRS/LGRD, ALI AL SALEM AB, KUWA",12749,SLFZ,,
"821 ABG, THULE AIR BASE GREENLAND",12739,YRFL,,
"US MISSION GENEVA, SWITZERLAND",12767,VKCA,,
"QENQ NAVSUP FLC YOKOSUKA, JAPAN",327,QENQ,,
METROPOLITAN VAN AND STORAGE INC,13043,BJAQ,,
"ARCENT-QATAR, DOHA, QATAR",13109,OFAK,,
